date,total_confirmed_cases,total_deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,3,0
2020-03-05,3,0
2020-03-06,4,0
2020-03-07,5,0
2020-03-08,5,0
2020-03-09,5,0
2020-03-10,5,0
2020-03-11,5,0
2020-03-12,5,0
2020-03-13,5,0
2020-03-14,6,0
2020-03-15,8,0
2020-03-16,8,0
2020-03-17,12,0
2020-03-18,20,0
2020-03-19,28,0
2020-03-20,39,0
2020-03-21,52,0
2020-03-22,102,0
2020-03-23,102,0
2020-03-24,155,0
2020-03-25,205,0
2020-03-26,283,0
2020-03-27,368,0
2020-03-28,451,0
2020-03-29,514,1
2020-03-30,589,1
2020-03-31,647,1
2020-04-01,708,1
2020-04-02,797,1
2020-04-03,868,1
2020-04-04,950,1
2020-04-05,1039,4
2020-04-06,1106,4
2020-04-07,1160,4
2020-04-08,1210,4
2020-04-09,1239,4
2020-04-10,1283,4
2020-04-11,1312,4
2020-04-12,1330,12
2020-04-13,1349,12
2020-04-14,1366,12
2020-04-15,1386,12
2020-04-16,1401,12
2020-04-17,1409,12
2020-04-18,1422,12
2020-04-19,1431,18
2020-04-20,1440,18
2020-04-21,1445,18
2020-04-22,1451,18
2020-04-23,1456,18
2020-04-24,1461,18
2020-04-25,1470,18
2020-04-26,1469,20
2020-04-27,1472,20
2020-04-28,1474,20
2020-04-29,1476,20
2020-04-30,1479,20
2020-05-01,1485,20
2020-05-02,1487,20
2020-05-03,1487,21
2020-05-04,1486,21
2020-05-05,1488,21
2020-05-06,1489,21
2020-05-07,1490,21
2020-05-08,1492,21
2020-05-09,1494,21
2020-05-10,1497,22
2020-05-11,1497,22
2020-05-12,1497,22
2020-05-13,1497,22
2020-05-14,1498,22
2020-05-15,1498,22
2020-05-16,1499,22
2020-05-17,1499,22
2020-05-18,1499,22
2020-05-19,1503,22
2020-05-20,1503,22
2020-05-21,1504,22
2020-05-22,1504,22
2020-05-23,1504,22
2020-05-24,1504,23
