date,age_group,total_cases,total_cases_hospitalised
2021-08-24,0 to 9,14,
2021-08-24,10 to 19,32,
2021-08-24,20 to 29,47,
2021-08-24,30 to 39,10,
2021-08-24,40 to 49,13,
2021-08-24,50 to 59,19,
2021-08-24,60 to 69,9,
2021-08-24,70+,4,
2021-08-25,0 to 9,22,
2021-08-25,10 to 19,44,
2021-08-25,20 to 29,66,
2021-08-25,30 to 39,18,
2021-08-25,40 to 49,20,
2021-08-25,50 to 59,24,
2021-08-25,60 to 69,9,
2021-08-25,70+,7,
2021-08-26,0 to 9,32,
2021-08-26,10 to 19,59,
2021-08-26,20 to 29,81,
2021-08-26,30 to 39,21,
2021-08-26,40 to 49,29,
2021-08-26,50 to 59,36,
2021-08-26,60 to 69,11,
2021-08-26,70+,8,
2021-08-28,0,46,
2021-08-28,1,91,
2021-08-28,2,114,
2021-08-28,3,38,
2021-08-28,4,50,
2021-08-28,5,58,
2021-08-28,6,19,
2021-08-28,7,13,
2021-08-29,0 to 9,59,
2021-08-29,10 to 19,113,
2021-08-29,20 to 29,138,
2021-08-29,30 to 39,44,
2021-08-29,40 to 49,57,
2021-08-29,50 to 59,62,
2021-08-29,60 to 69,20,
2021-08-29,70+,16,
2021-08-30,0 to 9,72,
2021-08-30,10 to 19,128,
2021-08-30,20 to 29,148,
2021-08-30,30 to 39,49,
2021-08-30,40 to 49,60,
2021-08-30,50 to 59,68,
2021-08-30,60 to 69,22,
2021-08-30,70+,17,
2021-08-30,Unknown,0,
2021-08-31,0 to 9,75,
2021-08-31,10 to 19,151,
2021-08-31,20 to 29,157,
2021-08-31,30 to 39,52,
2021-08-31,40 to 49,64,
2021-08-31,50 to 59,73,
2021-08-31,60 to 69,23,
2021-08-31,70+,17,
2021-08-31,Unknown,0,
2021-09-01,0 to 9,87,
2021-09-01,10 to 19,170,
2021-09-01,20 to 29,180,
2021-09-01,30 to 39,57,
2021-09-01,40 to 49,68,
2021-09-01,50 to 59,83,
2021-09-01,60 to 69,23,
2021-09-01,70+,19,
2021-09-01,Unknown,0,
2021-09-02,0 to 9,95,
2021-09-02,10 to 19,178,
2021-09-02,20 to 29,197,
2021-09-02,30 to 39,62,
2021-09-02,40 to 49,74,
2021-09-02,50 to 59,87,
2021-09-02,60 to 69,24,
2021-09-02,70+,19,
2021-09-02,Unknown,0,
2021-09-03,0 to 9,101,
2021-09-03,10 to 19,184,
2021-09-03,20 to 29,202,
2021-09-03,30 to 39,66,
2021-09-03,40 to 49,78,
2021-09-03,50 to 59,89,
2021-09-03,60 to 69,25,
2021-09-03,70+,19,
2021-09-03,Unknown,0,
2021-09-04,0 to 9,102,
2021-09-04,10 to 19,187,
2021-09-04,20 to 29,209,
2021-09-04,30 to 39,68,
2021-09-04,40 to 49,78,
2021-09-04,50 to 59,91,
2021-09-04,60 to 69,26,
2021-09-04,70+,21,
2021-09-04,Unknown,0,
2021-09-05,0 to 9,107,
2021-09-05,10 to 19,190,
2021-09-05,20 to 29,218,
2021-09-05,30 to 39,71,
2021-09-05,40 to 49,77,
2021-09-05,50 to 59,91,
2021-09-05,60 to 69,26,
2021-09-05,70+,21,
2021-09-05,Unknown,0,
2021-09-06,0 to 9,110,
2021-09-06,10 to 19,192,
2021-09-06,20 to 29,222,
2021-09-06,30 to 39,76,
2021-09-06,40 to 49,82,
2021-09-06,50 to 59,91,
2021-09-06,60 to 69,27,
2021-09-06,70+,21,
2021-09-06,Unknown,0,
2021-09-07,0 to 9,118,
2021-09-07,10 to 19,196,
2021-09-07,20 to 29,228,
2021-09-07,30 to 39,77,
2021-09-07,40 to 49,84,
2021-09-07,50 to 59,92,
2021-09-07,60 to 69,27,
2021-09-07,70+,20,
2021-09-07,Unknown,0,
2021-09-08,0 to 9,121,
2021-09-08,10 to 19,198,
2021-09-08,20 to 29,231,
2021-09-08,30 to 39,78,
2021-09-08,40 to 49,85,
2021-09-08,50 to 59,94,
2021-09-08,60 to 69,28,
2021-09-08,70+,21,
2021-09-08,Unknown,0,
2021-09-09,0 to 9,125,
2021-09-09,10 to 19,201,
2021-09-09,20 to 29,234,
2021-09-09,30 to 39,79,
2021-09-09,40 to 49,85,
2021-09-09,50 to 59,94,
2021-09-09,60 to 69,30,
2021-09-09,70+,21,
2021-09-09,Unknown,0,
2021-09-10,0 to 9,126,
2021-09-10,10 to 19,206,
2021-09-10,20 to 29,236,
2021-09-10,30 to 39,80,
2021-09-10,40 to 49,86,
2021-09-10,50 to 59,94,
2021-09-10,60 to 69,30,
2021-09-10,70+,21,
2021-09-10,Unknown,0,
2021-09-11,0 to 9,135,
2021-09-11,10 to 19,209,
2021-09-11,20 to 29,239,
2021-09-11,30 to 39,83,
2021-09-11,40 to 49,88,
2021-09-11,50 to 59,96,
2021-09-11,60 to 69,31,
2021-09-11,70+,21,
2021-09-11,Unknown,0,
2021-09-13,0 to 9,156,
2021-09-13,10 to 19,223,
2021-09-13,20 to 29,245,
2021-09-13,30 to 39,86,
2021-09-13,40 to 49,93,
2021-09-13,50 to 59,99,
2021-09-13,60 to 69,31,
2021-09-13,70+,22,
2021-09-13,Unknown,0,
2021-09-14,0 to 9,165,
2021-09-14,10 to 19,224,
2021-09-14,20 to 29,249,
2021-09-14,30 to 39,85,
2021-09-14,40 to 49,94,
2021-09-14,50 to 59,99,
2021-09-14,60 to 69,31,
2021-09-14,70+,23,
2021-09-14,Unknown,0,
2021-09-17,0 to 9,167,
2021-09-17,10 to 19,239,
2021-09-17,20 to 29,256,
2021-09-17,30 to 39,90,
2021-09-17,40 to 49,96,
2021-09-17,50 to 59,101,
2021-09-17,60 to 69,33,
2021-09-17,70+,25,
2021-09-17,Unknown,0,
2021-09-18,0 to 9,171,
2021-09-18,10 to 19,242,
2021-09-18,20 to 29,264,
2021-09-18,30 to 39,91,
2021-09-18,40 to 49,98,
2021-09-18,50 to 59,103,
2021-09-18,60 to 69,33,
2021-09-18,70+,25,
2021-09-18,Unknown,0,
2021-09-19,0 to 9,178,
2021-09-19,10 to 19,245,
2021-09-19,20 to 29,269,
2021-09-19,30 to 39,94,
2021-09-19,40 to 49,99,
2021-09-19,50 to 59,103,
2021-09-19,60 to 69,36,
2021-09-19,70+,25,
2021-09-19,Unknown,1,
2021-09-21,0 to 9,185,
2021-09-21,10 to 19,253,
2021-09-21,20 to 29,276,
2021-09-21,30 to 39,97,
2021-09-21,40 to 49,107,
