date,sex,total_cases,total_cases_hospitalised
2021-08-24,Female,74,
2021-08-24,Male,73,
2021-08-24,Unknown,1,
2021-08-25,Female,111,
2021-08-25,Male,99,
2021-08-26,Female,146,
2021-08-26,Male,128,
2021-08-26,Unknown,3,
2021-08-28,0,229,
2021-08-28,1,195,
2021-08-28,2,5,
2021-08-29,Female,274,
2021-08-29,Male,237,
2021-08-29,Unknown,0,
2021-08-30,Female,297,
2021-08-30,Male,261,
2021-08-30,Unknown,6,
2021-08-31,Female,322,
2021-08-31,Male,284,
2021-08-31,Unknown,6,
2021-09-01,Female,363,
2021-09-01,Male,318,
2021-09-01,Unknown,6,
2021-09-02,Female,386,
2021-09-02,Male,344,
2021-09-02,Unknown,6,
2021-09-03,Female,404,
2021-09-03,Male,357,
2021-09-03,Unknown,3,
2021-09-04,Female,410,
2021-09-04,Male,369,
2021-09-04,Unknown,3,
2021-09-05,Female,416,
2021-09-05,Male,382,
2021-09-05,Unknown,3,
2021-09-06,Female,426,
2021-09-06,Male,393,
2021-09-06,Unknown,2,
2021-09-07,Female,434,
2021-09-07,Male,405,
2021-09-07,Unknown,2,
2021-09-08,Female,444,
2021-09-08,Male,409,
2021-09-08,Unknown,2,
2021-09-09,Female,453,
2021-09-09,Male,413,
2021-09-09,Unknown,2,
2021-09-10,Female,460,
2021-09-10,Male,416,
2021-09-10,Unknown,3,
2021-09-11,Female,469,
2021-09-11,Male,428,
2021-09-11,Unknown,5,
2021-09-13,Female,499,
2021-09-13,Male,451,
2021-09-13,Unknown,5,
2021-09-14,Female,507,
2021-09-14,Male,459,
2021-09-14,Unknown,4,
2021-09-17,Female,528,
2021-09-17,Male,478,
2021-09-17,Unknown,1,
2021-09-18,Female,535,
2021-09-18,Male,491,
2021-09-18,Unknown,1,
2021-09-19,Female,547,
2021-09-19,Male,501,
2021-09-19,Unknown,2,
2021-09-21,Female,563,
2021-09-21,Male,519,
2021-09-21,Unknown,3,
2021-09-22,Female,573,
2021-09-22,Male,533,
2021-09-22,Unknown,2,
2021-09-23,Female,582,
2021-09-23,Male,540,
2021-09-23,Unknown,1,
2021-09-24,Female,585,
2021-09-24,Male,545,
2021-09-24,Unknown,1,
2021-09-25,Female,593,
2021-09-25,Male,552,
2021-09-25,Unknown,2,
2021-09-26,Female,599,
2021-09-26,Male,563,
2021-09-26,Unknown,3,
2021-09-27,Female,608,
2021-09-27,Male,567,
2021-09-27,Unknown,2,
2021-09-28,Female,613,
2021-09-28,Male,570,
2021-09-28,Unknown,2,
2021-09-29,Female,639,
2021-09-29,Male,589,
2021-09-29,Unknown,2,
2021-09-30,Female,652,
2021-09-30,Male,597,
2021-09-30,Unknown,0,
2021-10-01,Female,662,
2021-10-01,Male,606,
2021-10-01,Unknown,0,
2021-10-02,Female,674,
2021-10-02,Male,620,
2021-10-02,Unknown,1,
2021-10-03,Female,689,
2021-10-03,Male,638,
2021-10-03,Unknown,1,
2021-10-04,Female,701,
2021-10-04,Male,655,
2021-10-04,Unknown,1,
2021-10-05,Female,712,
2021-10-05,Male,668,
2021-10-05,Unknown,1,
2021-10-06,Female,732,
2021-10-06,Male,687,
2021-10-06,Unknown,1,
2021-10-07,Female,745,
2021-10-07,Male,702,
2021-10-07,Unknown,1,
2021-10-08,Female,764,
2021-10-08,Male,727,
2021-10-08,Unknown,2,
2021-10-09,Female,779,
2021-10-09,Male,746,
2021-10-09,Unknown,2,
2021-10-10,Female,811,
2021-10-10,Male,774,
2021-10-10,Unknown,2,
2021-10-11,Female,828,
2021-10-11,Male,792,
2021-10-11,Unknown,2,
2021-10-12,Female,851,
2021-10-12,Male,811,
2021-10-12,Unknown,2,
2021-10-13,Female,873,
2021-10-13,Male,844,
2021-10-13,Unknown,2,
2021-10-14,Female,906,94
2021-10-14,Male,883,76
2021-10-14,Unknown,1,0
2021-10-14,Total,1790,170
2021-10-15,Female,941,97
2021-10-15,Male,912,76
2021-10-15,Unknown,2,0
2021-10-15,Total,1855,173
2021-10-16,Female,956,97
2021-10-16,Male,937,78
2021-10-16,Unknown,2,0
2021-10-16,Total,1895,175
2021-10-17,Female,983,98
2021-10-17,Male,959,80
2021-10-17,Unknown,3,0
2021-10-17,Total,1945,178
2021-10-18,Female,1013,98
2021-10-18,Male,989,81
2021-10-18,Unknown,3,0
2021-10-18,Total,2005,179
2021-10-19,Female,1063,99
2021-10-19,Male,1033,82
2021-10-19,Unknown,3,0
2021-10-19,Total,2099,181
2021-10-20,Female,1092,104
2021-10-20,Male,1063,84
2021-10-20,Unknown,3,0
2021-10-20,Total,2158,188
2021-10-21,Female,1145,107
2021-10-21,Male,1113,89
2021-10-21,Unknown,2,0
2021-10-21,Total,2260,196
2021-10-22,Female,1205,111
2021-10-22,Male,1182,96
2021-10-22,Unknown,2,0
2021-10-22,Total,2389,207
2021-10-23,Female,1248,112
2021-10-23,Male,1241,99
2021-10-23,Unknown,3,0
2021-10-23,Total,2492,211
2021-10-25,Female,1348,118
2021-10-25,Male,1330,106
2021-10-25,Unknown,3,0
2021-10-25,Total,2681,224
2021-10-26,Female,1383,118
2021-10-26,Male,1373,106
2021-10-26,Unknown,3,0
2021-10-26,Total,2759,224
2021-10-27,Female,1424,122
2021-10-27,Male,1405,109
2021-10-27,Unknown,3,0
2021-10-27,Total,2832,231
2021-10-28,Female,1459,122
2021-10-28,Male,1460,114
2021-10-28,Unknown,2,0
2021-10-28,Total,2921,236
2021-10-29,Female,1515,123
2021-10-29,Male,1527,118
2021-10-29,Unknown,4,0
2021-10-29,Total,3046,241
2021-10-30,Female,1597,124
2021-10-30,Male,1602,123
2021-10-30,Unknown,6,0
2021-10-30,Total,3205,247
2021-10-31,Female,1668,130
2021-10-31,Male,1674,125
2021-10-31,Unknown,6,0
2021-10-31,Total,3348,255
2021-11-01,Female,1755,133
2021-11-01,Male,1749,127
2021-11-01,Unknown,6,0
2021-11-01,Total,3510,260
2021-11-02,Female,1810,135
2021-11-02,Male,1818,128
2021-11-02,Unknown,6,0
2021-11-02,Total,3634,263
2021-11-03,Female,1866,138
2021-11-03,Male,1861,134
2021-11-03,Unknown,6,0
2021-11-03,Total,3733,272
2021-11-05,Female,2016,143
2021-11-05,Male,2012,142
2021-11-05,Unknown,6,0
2021-11-05,Total,4034,285
2021-11-11,Female,2493,157
2021-11-11,Male,2498,158
2021-11-11,Unknown,7,0
2021-11-11,Total,4998,315
2021-11-15,Female,2850,169
2021-11-15,Male,2887,169
2021-11-15,Unknown,14,1
2021-11-15,Total,5751,339
2021-11-17,Female,3074,180
2021-11-17,Male,3078,177
2021-11-17,Unknown,15,1
2021-11-17,Total,6167,358
2021-11-18,Female,3157,183
2021-11-18,Male,3160,180
2021-11-18,Unknown,17,1
2021-11-18,Total,6334,364
2021-11-20,Female,3347,188
2021-11-20,Male,3335,184
2021-11-20,Unknown,19,0
2021-11-20,Total,6701,372
2021-11-21,Female,3422,191
2021-11-21,Male,3408,187
2021-11-21,Unknown,20,0
2021-11-21,Total,6850,378
2021-11-22,Female,3532,194
2021-11-22,Male,3502,193
2021-11-22,Unknown,20,0
2021-11-22,Total,7054,387
2021-11-23,Female,3630,197
2021-11-23,Male,3614,197
2021-11-23,Unknown,24,0
2021-11-23,Total,7268,394
2021-11-24,Female,3751,203
2021-11-24,Male,3709,198
2021-11-24,Unknown,24,0
2021-11-24,Total,7484,401
2021-11-25,Female,3854,208
2021-11-25,Male,3785,200
2021-11-25,Unknown,21,0
2021-11-25,Total,7660,408
2021-11-26,Female,3938,212
2021-11-26,Male,3872,205
2021-11-26,Unknown,22,0
2021-11-26,Total,7832,417
2021-11-27,Female,4000,213
2021-11-27,Male,3952,207
2021-11-27,Unknown,23,0
2021-11-27,Total,7975,420
2021-11-28,Female,4060,217
2021-11-28,Male,4035,213
2021-11-28,Unknown,23,0
2021-11-28,Total,8118,430
2021-11-29,Female,4149,223
2021-11-29,Male,4127,219
2021-11-29,Unknown,22,0
2021-11-29,Total,8298,442
2021-11-30,Female,4224,225
2021-11-30,Male,4184,220
2021-11-30,Unknown,23,0
2021-11-30,Total,8431,445
2021-12-01,Female,4293,226
2021-12-01,Male,4258,222
2021-12-01,Unknown,23,0
2021-12-01,Total,8574,448
2021-12-02,Female,4369,228
2021-12-02,Male,4352,229
2021-12-02,Unknown,24,0
2021-12-02,Total,8745,457
2021-12-03,Female,4416,228
2021-12-03,Male,4395,232
2021-12-03,Unknown,25,0
2021-12-03,Total,8836,460
2021-12-04,Female,4460,228
2021-12-04,Male,4446,233
2021-12-04,Unknown,25,0
2021-12-04,Total,8931,461
2021-12-05,Female,4510,231
2021-12-05,Male,4502,234
2021-12-05,Unknown,25,0
2021-12-05,Total,9037,465
2021-12-06,Female,4573,234
2021-12-06,Male,4573,241
2021-12-06,Unknown,25,0
2021-12-06,Total,9171,475
2021-12-07,Female,4616,238
2021-12-07,Male,4626,244
2021-12-07,Unknown,25,0
2021-12-07,Total,9267,482
2021-12-08,Female,4666,241
2021-12-08,Male,4663,246
2021-12-08,Unknown,25,0
2021-12-08,Total,9354,487
2021-12-09,Female,4714,242
2021-12-09,Male,4717,247
2021-12-09,Unknown,26,0
2021-12-09,Total,9457,489
2021-12-10,Female,4764,243
2021-12-10,Male,4762,247
2021-12-10,Unknown,26,0
2021-12-10,Total,9552,490
2021-12-11,Female,4795,244
2021-12-11,Male,4792,247
2021-12-11,Unknown,26,0
2021-12-11,Total,9613,491
2021-12-12,Female,4845,245
2021-12-12,Male,4843,247
2021-12-12,Unknown,26,0
2021-12-12,Total,9714,492
2021-12-13,Female,4891,246
2021-12-13,Male,4898,249
2021-12-13,Unknown,25,0
2021-12-13,Total,9814,495
2021-12-14,Female,4924,248
2021-12-14,Male,4942,250
2021-12-14,Unknown,24,0
2021-12-14,Total,9890,498
2021-12-15,Female,4955,254
2021-12-15,Male,4984,254
2021-12-15,Unknown,24,0
2021-12-15,Total,9963,508
2021-12-16,Female,4992,255
2021-12-16,Male,5027,261
2021-12-16,Unknown,35,0
2021-12-16,Total,10054,516
2021-12-17,Female,5037,257
2021-12-17,Male,5064,262
2021-12-17,Unknown,28,0
2021-12-17,Total,10129,519
2021-12-18,Female,5055,257
2021-12-18,Male,5085,263
2021-12-18,Unknown,28,0
2021-12-18,Total,10168,520
2021-12-18,Female,5081,258
2021-12-18,Male,5109,263
2021-12-18,Unknown,30,0
2021-12-18,Total,10220,521
2021-12-19,Female,5081,258
2021-12-19,Male,5109,263
2021-12-19,Unknown,30,0
2021-12-19,Total,10220,521
2021-12-19,Female,5118,259
2021-12-19,Male,5141,266
2021-12-19,Unknown,30,0
2021-12-19,Total,10289,525
2021-12-20,Female,5129,262
2021-12-20,Male,5161,269
2021-12-20,Unknown,30,0
2021-12-20,Total,10320,531
2021-12-21,Female,5160,265
2021-12-21,Male,5186,269
2021-12-21,Unknown,29,0
2021-12-21,Total,10375,534
2021-12-22,Female,5194,269
2021-12-22,Male,5210,273
