date,age_group,active,recovered,deceased,total
2020-11-05,0 to 9,3,79,0,82
2020-11-05,10 to 19,2,171,0,173
2020-11-05,20 to 29,15,447,0,462
2020-11-05,30 to 39,15,328,0,343
2020-11-05,40 to 49,15,262,0,277
2020-11-05,50 to 59,6,290,2,298
2020-11-05,60 to 69,10,197,3,210
2020-11-05,70 to 79,1,79,7,87
2020-11-05,80 to 89,0,24,8,32
2020-11-05,90+,0,4,5,9
2020-11-05,Total,67,1881,25,1973
2020-11-12,0 to 9,3,79,0,82
2020-11-12,10 to 19,5,171,0,176
2020-11-12,20 to 29,18,450,0,468
2020-11-12,30 to 39,7,338,0,345
2020-11-12,40 to 49,8,271,0,279
2020-11-12,50 to 59,4,294,2,300
2020-11-12,60 to 69,6,203,3,212
2020-11-12,70 to 79,2,79,7,88
2020-11-12,80 to 89,0,24,8,32
2020-11-12,90+,0,4,5,9
2020-11-12,Total,53,1913,25,1991
2020-11-26,0 to 9,1,81,0,82
2020-11-26,10 to 19,9,173,0,182
2020-11-26,20 to 29,17,467,0,484
2020-11-26,30 to 39,13,342,0,355
2020-11-26,40 to 49,10,276,0,286
2020-11-26,50 to 59,6,299,2,307
2020-11-26,60 to 69,2,209,3,214
2020-11-26,70 to 79,2,80,7,89
2020-11-26,80 to 89,0,24,8,32
2020-11-26,90+,0,4,5,9
2020-11-26,Total,60,1955,25,2040
2020-12-02,0 to 9,3,81,0,84
2020-12-02,10 to 19,11,174,0,185
2020-12-02,20 to 29,20,470,0,490
2020-12-02,30 to 39,15,346,0,361
2020-12-02,40 to 49,12,276,0,288
2020-12-02,50 to 59,6,299,2,307
2020-12-02,60 to 69,3,209,3,215
2020-12-02,70 to 79,2,80,7,89
2020-12-02,80 to 89,0,24,8,32
2020-12-02,90+,0,4,5,9
2020-12-02,Total,72,1963,25,2060
2020-12-09,0 to 9,4,81,0,85
2020-12-09,10 to 19,7,182,0,189
2020-12-09,20 to 29,14,483,0,497
2020-12-09,30 to 39,12,356,0,368
2020-12-09,40 to 49,9,281,0,290
2020-12-09,50 to 59,4,305,2,311
2020-12-09,60 to 69,3,211,3,217
2020-12-09,70 to 79,2,81,7,90
2020-12-09,80 to 89,0,24,8,32
2020-12-09,90+,0,4,5,9
2020-12-09,Total,55,2008,25,2088
2020-12-31,0 to 9,1,89,0,90
2020-12-31,10 to 19,4,190,0,194
2020-12-31,20 to 29,11,499,0,510
2020-12-31,30 to 39,15,375,0,390
2020-12-31,40 to 49,11,295,0,306
2020-12-31,50 to 59,9,307,2,318
2020-12-31,60 to 69,2,217,3,222
2020-12-31,70 to 79,2,82,7,91
2020-12-31,80 to 89,0,24,8,32
2020-12-31,90+,0,4,5,9
2020-12-31,Total,55,2082,25,2162
2021-01-10,0 to 9,6,89,0,95
