date,sex,active,recovered,deceased,total
2020-11-05,Female,15,1032,11,1058
2020-11-05,Male,52,849,14,915
2020-11-05,Unknown,0,0,0,0
2020-11-05,Total,67,1881,25,1973
2020-11-12,Female,23,1033,11,1067
2020-11-12,Male,30,880,14,924
2020-11-12,Unknown,0,0,0,0
2020-11-12,Total,53,1913,25,1991
2020-11-26,Female,26,1049,11,1086
2020-11-26,Male,33,906,14,953
2020-11-26,Unknown,1,0,0,1
2020-11-26,Total,60,1955,25,2040
2020-12-02,Female,31,1049,11,1091
2020-12-02,Male,41,913,14,968
2020-12-02,Unknown,0,1,0,1
2020-12-02,Total,72,1963,25,2060
2020-12-09,Female,27,1066,11,1104
2020-12-09,Male,28,941,14,983
2020-12-09,Unknown,0,1,0,1
2020-12-09,Total,55,2008,25,2088
2020-12-31,Female,21,1106,11,1138
2020-12-31,Male,34,975,14,1023
2020-12-31,Unknown,0,1,0,1
2020-12-31,Total,55,2082,25,2162
2021-01-10,Female,41,1115,11,1167
2021-01-10,Male,33,1004,14,1051
2021-01-10,Unknown,1,0,0,1
2021-01-10,Total,75,2119,25,2219
2021-01-13,Female,28,1130,11,1169
2021-01-13,Male,34,1010,14,1058
2021-01-13,Unknown,0,1,0,1
2021-01-13,Total,62,2141,25,2228
2021-01-24,Female,41,1145,11,1197
2021-01-24,Male,38,1034,14,1086
2021-01-24,Unknown,0,0,0,0
2021-01-24,Total,79,2179,25,2283
2021-01-25,Female,33,1155,11,1199
2021-01-25,Male,31,1044,14,1089
2021-01-25,Unknown,0,0,0,0
2021-01-25,Total,64,2199,25,2288
2021-02-04,Female,24,1174,11,1209
2021-02-04,Male,36,1054,14,1104
2021-02-04,Unknown,0,0,0,0
2021-02-04,Total,60,2228,25,2313
2021-02-18,Female,24,1189,12,1225
2021-02-18,Male,22,1083,14,1119
2021-02-18,Unknown,0,0,0,0
2021-02-18,Total,46,2272,26,2344
2021-02-21,Female,26,1189,12,1227
2021-02-21,Male,25,1084,14,1123
2021-02-21,Unknown,0,0,0,0
2021-02-21,Total,51,2273,26,2350
2021-02-22,Female,27,1191,12,1230
2021-02-22,Male,27,1086,14,1127
2021-02-22,Unknown,0,0,0,0
2021-02-22,Total,54,2277,26,2357
2021-02-28,Female,29,1197,12,1238
2021-02-28,Male,36,1088,14,1138
2021-02-28,Unknown,0,0,0,0
2021-02-28,Total,65,2285,26,2376
