date,sex,total_hospitalised,total_icu
2020-11-05,Female,63,6
2020-11-05,Male,58,11
2020-11-05,Total,121,17
2020-11-12,Female,63,6
2020-11-12,Male,59,11
2020-11-12,Total,122,17
2020-11-26,Female,63,6
2020-11-26,Male,59,12
2020-11-26,Total,122,18
2020-12-02,Female,63,6
2020-12-02,Male,59,12
2020-12-02,Total,122,18
2020-12-09,Female,63,6
2020-12-09,Male,59,12
2020-12-09,Total,122,18
2020-12-31,Female,63,6
2020-12-31,Male,59,12
2020-12-31,Total,122,18
2021-01-10,Female,63,6
2021-01-10,Male,59,12
2021-01-10,Total,122,18
2021-01-13,Female,63,6
2021-01-13,Male,59,12
2021-01-13,Total,122,18
2021-01-24,Female,63,6
2021-01-24,Male,60,12
2021-01-24,Total,123,18
2021-01-25,Female,63,6
2021-01-25,Male,60,12
2021-01-25,Total,123,18
2021-02-04,Female,63,6
2021-02-04,Male,60,12
2021-02-04,Total,123,18
2021-02-18,Female,64,6
2021-02-18,Male,60,12
2021-02-18,Total,124,18
2021-02-21,Female,64,6
2021-02-21,Male,60,12
2021-02-21,Total,124,18
2021-02-22,Female,64,6
2021-02-22,Male,60,12
2021-02-22,Total,124,18
2021-02-28,Female,64,6
2021-02-28,Male,60,12
2021-02-28,Total,124,18
2021-03-01,Female,64,6
2021-03-01,Male,60,12
2021-03-01,Total,124,18
2021-03-02,Female,65,6
2021-03-02,Male,60,12
2021-03-02,Total,125,18
2021-03-03,Female,65,6
2021-03-03,Male,60,12
2021-03-03,Total,125,18
2021-03-08,Female,65,6
2021-03-08,Male,61,12
2021-03-08,Total,126,18
2021-04-19,Female,66,6
2021-04-19,Male,62,12
2021-04-19,Total,128,18
2021-05-24,Female,66,6
2021-05-24,Male,62,12
2021-05-24,Total,128,18
2021-06-13,Female,66,6
2021-06-13,Male,64,13
2021-06-13,Total,130,19
2021-06-29,Female,66,6
2021-06-29,Male,65,13
2021-06-29,Total,131,19
2021-07-26,Female,66,6
2021-07-26,Male,65,13
2021-07-26,Total,131,19
2021-08-19,Female,69,6
2021-08-19,Male,70,13
2021-08-19,Total,139,19
2021-08-20,Female,69,6
2021-08-20,Male,71,13
2021-08-20,Total,140,19
2021-08-21,Female,69,6
2021-08-21,Male,71,13
2021-08-21,Total,140,19
2021-08-22,Female,70,6
2021-08-22,Male,72,13
2021-08-22,Total,142,19
2021-08-23,Female,70,6
2021-08-23,Male,74,13
2021-08-23,Total,144,19
2021-08-24,Female,70,6
2021-08-24,Male,75,13
2021-08-24,Total,145,19
2021-08-25,Female,71,6
2021-08-25,Male,77,13
2021-08-25,Total,148,19
2021-08-26,Female,72,6
2021-08-26,Male,77,13
2021-08-26,Total,149,19
2021-08-28,Female,77,6
2021-08-28,Male,80,13
2021-08-28,Total,157,19
2021-08-29,Female,78,6
2021-08-29,Male,83,13
2021-08-29,Total,161,19
2021-08-30,Female,80,6
2021-08-30,Male,83,13
2021-08-30,Total,163,19
2021-08-31,Female,91,6
2021-08-31,Male,90,13
2021-08-31,Total,181,19
2021-09-01,Female,93,6
2021-09-01,Male,93,13
2021-09-01,Total,186,19
2021-09-02,Female,100,6
2021-09-02,Male,95,13
2021-09-02,Total,195,19
2021-09-03,Female,102,6
2021-09-03,Male,96,13
2021-09-03,Total,198,19
2021-09-04,Female,104,6
2021-09-04,Male,104,13
2021-09-04,Total,208,19
2021-09-05,Female,107,6
