"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages"
"1991Q1",30940,29990,29210,28830,27170,27030,26780,26450,26370,26440,27180,26610,25750,25880,27040,27010,28180,29240,29770,30730,30330,29770,28990,27160,26650,26700,26950,28360,28950,29380,28740,28500,27760,27130,26760,26080,25430,24980,24590,24350,24290,24340,24510,24250,24000,20940,19540,18770,17950,19280,19130,17100,16190,15620,15020,14530,14510,14150,14460,14730,15170,14890,14580,14440,14310,13720,13040,12350,11640,11400,10940,9370,8370,7930,8020,7250,6980,6440,5820,5190,4520,3830,3420,2920,2430,2020,1620,1310,1070,830,620,470,320,240,150,146150,133080,132450,144920,142910,140330,138890,125420,121400,96470,83070,72360,73400,62160,44640,31680,17120,6850,411700,438700,496100,556600,692500,910300,1065800,446700,1139200,1303700,1276700,1219300,1158800,1790,237900,164600,57800,26100,9000,2100,310,30.6,1715400,29630,28740,27910,27200,25930,25990,25440,25100,24780,24950,25470,25570,25190,25070,26560,26560,28160,29170,30180,31100,30730,29810,28800,27970,27510,27140,27800,29360,30610,30520,30220,29160,28770,27820,27350,26940,26230,25560,25140,24550,24580,24330,24550,24690,24150,21060,19560,18610,18050,19310,18930,17200,16460,15590,15300,14510,14180,14180,14440,14330,15090,14800,14600,14280,14390,14220,14190,13560,13580,13520,13290,11920,10880,10620,10890,9940,10150,9180,8870,7820,7210,6700,6200,5200,4700,4200,3480,3020,2440,2050,1760,1230,1010,800,620,139400,126250,127860,145170,144810,145430,143320,128410,122310,96590,83480,71640,73180,69080,57600,45960,30000,15190,393500,420100,477400,538700,707100,926000,1081200,447200,1154300,1379100,1352500,1295200,1233900,5410,297900,224700,98000,52100,22100,6870,1460,31.9,1772600,60580,58720,57120,56030,53100,53030,52230,51540,51150,51390,52650,52180,50940,50950,53600,53570,56340,58410,59950,61830,61050,59580,57790,55130,54170,53830,54740,57710,59560,59910,58970,57660,56530,54940,54110,53020,51660,50540,49720,48900,48870,48680,49070,48940,48150,42000,39100,37370,36000,38590,38060,34300,32650,31210,30320,29030,28690,28330,28900,29060,30270,29690,29180,28730,28710,27940,27240,25920,25230,24930,24230,21300,19250,18550,18920,17190,17130,15620,14700,13020,11730,10530,9620,8120,7130,6220,5100,4330,3520,2880,2380,1690,1330,1030,770,285550,259330,260310,290090,287720,285760,282210,253840,243700,193060,166550,144010,146570,131240,102240,77650,47120,22050,805200,858800,973500,1095300,1399600,1836400,2146900,893900,2293500,2682800,2629200,2514500,2392700,7200,535800,389300,155800,78100,31000,8980,1770,31.3,3488000
"1991Q2",31230,30150,29340,28940,27440,27090,26820,26700,26270,26400,27050,26650,26140,25750,26880,27090,27730,29090,29690,30450,30600,29530,29040,27460,26540,26330,26810,28170,28660,29320,28960,28620,28330,26970,26860,26310,25500,25330,24490,24460,24310,24350,24420,24300,24620,20880,20010,19350,17500,19300,19120,17820,16190,15710,15150,14620,14450,14160,14330,14550,15140,14810,14560,14650,14220,13680,13300,12260,11740,11470,10690,10040,8340,7850,7890,7390,6880,6610,5850,5170,4560,3910,3420,2960,2430,2050,1640,1330,1090,850,640,480,320,240,160,147100,133280,132470,144050,143180,139290,139740,126090,122000,97040,84000,72110,73370,62450,44810,31900,17280,6960,412800,439900,496700,556900,692300,911400,1067500,448500,1140900,1306400,1279300,1222500,1162400,1840,238900,165600,58300,26400,9100,2150,310,30.7,1719300,29630,29130,28030,27460,25860,26160,25660,25220,24720,24830,25630,25360,25520,24900,26250,26460,27800,29080,29650,30980,31000,29600,28610,28120,27620,26920,27490,29160,30130,30780,30400,29300,29220,27810,27510,27040,26300,25950,25020,24800,24370,24690,24270,24710,24790,20970,20190,19100,17520,19350,19130,17730,16450,15650,15380,14720,14050,14260,14350,14300,14930,14830,14540,14540,14140,14170,14250,13600,13490,13580,13000,12770,10670,10610,10820,10080,10020,9390,8760,8120,7120,6730,6260,5310,4670,4170,3550,3080,2480,2070,1750,1300,990,830,610,140120,126600,127660,143970,144950,144490,144250,129120,122830,97120,84340,71680,72970,69080,57870,46360,30100,15360,394400,420800,477700,538300,706800,926700,1082800,448900,1155700,1381500,1355000,1298100,1237500,5480,298700,225700,98800,52400,22300,6960,1480,32.0,1775800,60860,59280,57360,56410,53300,53250,52490,51920,50990,51230,52680,52010,51660,50640,53130,53540,55530,58160,59340,61440,61610,59130,57650,55580,54160,53250,54300,57330,58800,60110,59360,57920,57560,54780,54370,53350,51800,51290,49510,49260,48680,49040,48690,49020,49400,41850,40210,38450,35020,38650,38250,35550,32640,31360,30530,29340,28500,28420,28680,28850,30070,29640,29100,29190,28350,27850,27550,25860,25230,25050,23690,22810,19010,18460,18710,17470,16890,16010,14610,13290,11680,10640,9680,8270,7110,6220,5190,4410,3580,2920,2390,1780,1310,1080,770,287210,259870,260130,288020,288130,283780,283990,255210,244820,194170,168340,143790,146350,131540,102680,78260,47380,22320,807200,860800,974500,1095200,1399100,1838100,2150300,897500,2296600,2687900,2634300,2520700,2399900,7320,537600,391300,157100,78800,31400,9110,1790,31.4,3495100
"1991Q3",31120,30420,29590,29180,27890,27180,26990,26630,26380,26330,26960,26710,26550,25720,26640,26970,27610,28760,29350,30370,30890,29400,29130,27740,26640,26320,26730,27680,28660,29200,29080,28740,28360,27320,26820,26630,25650,25510,24470,24690,24340,24250,24450,24480,24690,21600,20380,19310,17770,19070,19090,18260,16520,15920,15200,14770,14390,14330,14140,14440,15020,14810,14620,14610,14230,13800,13250,12390,11880,11420,10720,10670,8030,7930,7740,7530,6750,6630,5870,5240,4510,4030,3440,2950,2480,2090,1640,1360,1040,880,650,480,330,230,180,148200,133500,132580,143060,143800,138590,140320,126940,122210,98120,84990,72080,73280,62740,45090,32020,17410,7000,414300,441300,497600,557300,692700,913000,1070100,450700,1143400,1309800,1282900,1226500,1166800,1870,239700,166500,58600,26600,9200,2180,310,30.8,1724100,29500,29330,28230,27790,26230,26260,25670,25290,24910,24680,25730,25210,25560,24870,25970,26410,27680,28580,29500,30740,31080,29690,28980,28040,27750,26930,27370,28660,30170,30570,30740,29520,29300,28140,27630,27150,26630,26100,25180,24920,24520,24690,24150,24700,25050,21690,20710,19080,17720,19000,19170,18160,16760,15920,15420,15020,13880,14270,14280,14250,14930,14860,14560,14410,14270,14170,14090,13770,13300,13670,12980,13440,10340,10670,10590,10310,9750,9530,8830,8320,7110,6660,6300,5510,4640,4190,3610,3010,2550,2060,1770,1310,970,830,610,141080,126810,127350,142910,145540,143700,145320,129980,123100,98200,85430,71700,73030,68990,58020,46740,30220,15420,395200,421600,477900,538100,707400,928700,1085900,451500,1158900,1385300,1358900,1302600,1242400,5500,299400,226400,99400,52600,22400,7000,1500,32.1,1780500,60620,59750,57820,56970,54120,53430,52660,51920,51300,51000,52690,51920,52110,50600,52620,53380,55290,57340,58850,61100,61960,59090,58110,55770,54390,53250,54100,56340,58830,59780,59820,58260,57650,55460,54450,53780,52280,51600,49650,49610,48850,48940,48590,49180,49740,43290,41090,38390,35490,38070,38260,36420,33270,31840,30620,29800,28270,28600,28420,28690,29950,29670,29180,29020,28500,27980,27340,26160,25180,25080,23700,24120,18370,18600,18330,17840,16500,16170,14700,13560,11620,10690,9740,8460,7120,6280,5250,4360,3590,2940,2420,1800,1300,1060,790,289280,260300,259930,285970,289330,282290,285640,256910,245310,196320,170420,143780,146320,131730,103110,78760,47630,22420,809500,862900,975500,1095500,1400100,1841800,2156000,902100,2302300,2695100,2641800,2529100,2409200,7380,539200,392800,158000,79200,31600,9180,1810,31.4,3504600
"1991Q4",31170,30640,29830,29130,28480,27170,27030,26760,26430,26430,26680,26980,26570,25760,26120,27230,27300,28460,29230,30120,30630,29690,29310,28150,26720,26600,26600,27370,28900,29140,29250,28930,28240,27770,26800,27020,25720,25600,24560,24780,24270,24310,24370,24660,24440,22990,20640,19400,18120,18550,19070,18610,16920,16040,15380,14990,14180,14480,14030,14440,14740,14940,14640,14570,14130,13920,13280,12560,11980,11400,10770,10680,8390,8060,7580,7630,6770,6560,5950,5320,4590,4080,3420,3010,2490,2130,1660,1370,1050,910,660,490,350,250,170,149240,133820,132110,142340,144510,138610,141000,127670,122050,99700,86030,72120,73020,63150,45470,32220,17600,7130,415200,442400,498200,557500,694100,915900,1074000,452900,1147000,1314900,1287600,1231900,1172500,1920,240800,167800,59200,27000,9400,2240,320,30.8,1730000,29280,29350,28610,27940,26630,26130,25860,25390,25030,24910,25260,25350,25540,25030,25490,26590,27010,28440,29270,30310,30950,29970,29320,28380,27890,27140,27250,28660,29980,30640,30720,30110,29190,28560,27680,27350,26650,26250,25340,25140,24320,24860,24160,24770,24780,22980,21040,19280,17960,18710,19010,18530,17140,16020,15530,15200,14110,14290,14100,14280,14590,14930,14500,14610,14070,14300,13980,13900,13350,13460,13060,13340,10850,10720,10500,10440,9550,9700,8810,8450,7140,6830,6200,5720,4590,4260,3660,3040,2580,2100,1750,1400,980,830,620,141810,127320,126670,141610,146520,143660,146270,130740,122880,99960,86230,71970,72710,68980,58470,46960,30480,15630,395800,422400,477800,537400,708800,931600,1089800,453800,1162600,1390200,1363600,1308100,1248600,5570,300300,227600,100200,53200,22700,7080,1510,32.2,1786000,60450,59980,58440,57070,55110,53300,52890,52150,51460,51340,51940,52330,52110,50800,51600,53820,54310,56900,58500,60430,61580,59660,58630,56530,54610,53740,53860,56020,58880,59770,59970,59040,57440,56340,54480,54370,52370,51850,49900,49920,48590,49170,48530,49430,49210,45970,41680,38680,36080,37260,38090,37140,34060,32060,30910,30190,28290,28770,28130,28710,29340,29870,29140,29180,28210,28220,27260,26450,25330,24860,23830,24020,19240,18780,18080,18070,16320,16260,14760,13770,11740,10920,9620,8730,7080,6390,5320,4410,3630,3010,2410,1890,1320,1080,790,291050,261140,258770,283950,291020,282270,287270,258410,244930,199660,172260,144090,145730,132130,103950,79180,48080,22760,811000,864800,976000,1094900,1402900,1847500,2163900,906700,2309600,2705000,2651200,2540000,2421100,7490,541100,395400,159300,80200,32100,9320,1830,31.5,3516000
"1992Q1",31260,30920,30000,29240,28880,27190,27100,26840,26490,26430,26480,27260,26670,25850,25980,27210,27160,28260,29220,29810,30600,29960,29240,28530,26890,26480,26650,27070,28560,29120,29560,28880,28590,27860,27190,26860,26140,25500,25030,24670,24390,24380,24400,24570,24320,24030,20940,19550,18760,17910,19250,19070,17040,16120,15550,14960,14400,14390,14040,14330,14550,15030,14680,14370,14170,13980,13390,12700,11980,11330,11040,10520,8990,8010,7520,7640,6840,6550,6000,5370,4720,4100,3430,3020,2550,2130,1740,1360,1100,900,680,500,370,250,190,150300,134050,132250,141660,145210,137890,142070,128190,122060,101170,87030,72120,72810,63380,46060,32400,17820,7230,416600,443800,499200,558300,695000,918300,1077400,455200,1150200,1319400,1292200,1236800,1177800,1990,242000,169200,59800,27400,9500,2320,330,30.9,1736000,29150,29600,28760,27950,27250,25970,26030,25480,25130,24800,25010,25520,25640,25270,25140,26660,26710,28250,29140,30060,30810,30290,29280,28440,27780,27500,27210,27980,29560,30850,30680,30370,29210,28870,27900,27380,26960,26260,25600,25160,24590,24600,24380,24570,24690,24150,21030,19520,18570,18000,19260,18870,17160,16410,15540,15240,14430,14110,14080,14340,14230,14970,14670,14460,14130,14210,14020,13990,13370,13320,13250,13000,11650,10600,10330,10570,9580,9790,8790,8460,7430,6760,6260,5750,4770,4250,3750,3080,2630,2100,1740,1480,980,830,640,142710,127400,126580,140810,146600,143110,147020,131360,122830,101260,87240,72200,72460,68910,58840,47180,30960,15810,396700,423300,478300,537500,708900,933000,1092400,456000,1164900,1393800,1367200,1312200,1253000,5680,301400,228900,101200,54000,23000,7230,1550,32.2,1790500,60410,60520,58760,57190,56120,53160,53120,52310,51620,51230,51490,52780,52310,51120,51130,53870,53860,56510,58350,59870,61410,60240,58520,56970,54670,53990,53870,55050,58120,59970,60240,59240,57800,56720,55090,54240,53100,51760,50630,49830,48980,48980,48780,49130,49000,48170,41970,39060,37330,35910,38500,37940,34200,32530,31090,30200,28830,28500,28120,28680,28780,30000,29350,28830,28300,28180,27410,26690,25350,24650,24290,23520,20640,18620,17840,18210,16420,16340,14790,13830,12150,10850,9690,8760,7320,6390,5500,4440,3730,2990,2430,1990,1350,1080,830,293010,261440,258830,282480,291810,281000,289090,259550,244880,202440,174260,144320,145260,132290,104900,79580,48770,23050,813300,867200,977500,1095800,1403900,1851200,2169800,911200,2315100,2713200,2659400,2549000,2430800,7670,543400,398100,160900,81400,32600,9550,1880,31.6,3526500
"1992Q2",30740,31180,30120,29320,28970,27470,27100,26860,26720,26300,26440,27110,26720,26230,25830,27000,27230,27830,29100,29710,30330,30220,29000,28620,27210,26440,26280,26920,28330,28890,29500,29110,28710,28440,27040,26930,26360,25570,25410,24570,24510,24370,24430,24470,24370,24650,20890,20020,19340,17460,19260,19060,17770,16130,15640,15070,14500,14300,14050,14210,14380,14990,14590,14330,14370,13930,13340,12970,11880,11400,11130,10250,9620,7980,7440,7520,6950,6470,6140,5390,4720,4150,3510,3020,2570,2130,1780,1360,1100,910,670,530,380,250,190,150340,134460,132320,140860,145380,136860,142800,128840,122150,102350,87850,72120,72660,63520,46430,32460,17970,7280,417100,444100,499200,558000,694700,919200,1079200,457100,1151900,1321900,1294900,1239800,1181000,2010,242700,170000,60000,27600,9600,2340,330,31.0,1739000,28660,29590,29140,28060,27520,25880,26190,25670,25220,24750,24870,25680,25410,25580,24970,26340,26580,27900,29060,29530,30710,30530,29050,28240,27940,27610,27030,27610,29360,30310,30940,30550,29340,29270,27870,27530,27050,26320,26000,25060,24840,24400,24710,24280,24710,24780,20940,20120,19040,17470,19290,19070,17680,16390,15610,15300,14660,13960,14180,14240,14210,14820,14690,14390,14390,13940,13980,14070,13380,13250,13290,12710,12480,10390,10300,10480,9750,9630,9000,8380,7700,6660,6300,5790,4870,4230,3750,3120,2700,2130,1770,1470,1060,800,670,142960,127710,126520,139410,146470,141920,147970,131960,122940,102360,88050,72340,72510,68610,59170,47250,31320,15940,397200,423500,478000,536600,707700,933000,1093400,458200,1165900,1395500,1369200,1314700,1256100,5770,302100,229600,101800,54600,23300,7320,1550,32.3,1792700,59400,60770,59260,57380,56490,53350,53290,52530,51950,51050,51310,52790,52130,51810,50800,53340,53810,55730,58160,59240,61030,60750,58050,56870,55150,54050,53310,54530,57690,59200,60430,59660,58060,57710,54910,54460,53410,51890,51410,49630,49350,48770,49140,48750,49070,49430,41830,40140,38390,34930,38550,38130,35440,32520,31250,30370,29150,28260,28220,28450,28600,29810,29280,28720,28760,27870,27320,27030,25260,24650,24420,22970,22100,18370,17740,18000,16700,16110,15130,13770,12420,10810,9800,8810,7440,6360,5530,4490,3800,3040,2440,2000,1440,1050,860,293300,262170,258840,280280,291850,278780,290760,260800,245090,204710,175890,144460,145160,132130,105600,79710,49290,23210,814300,867700,977200,1094600,1402500,1852300,2172600,915300,2317800,2717400,2664000,2554500,2437100,7790,544800,399600,161900,82200,32900,9660,1880,31.7,3531700
"1992Q3",30600,31030,30390,29530,29200,27930,27170,27010,26640,26400,26360,27000,26770,26620,25820,26750,27140,27660,28780,29330,30260,30490,28880,28670,27460,26470,26250,26820,27860,28890,29370,29290,28850,28430,27380,26920,26690,25710,25590,24550,24730,24380,24360,24480,24530,24720,21600,20370,19300,17730,19030,19020,18210,16460,15860,15120,14660,14250,14210,14010,14270,14840,14620,14370,14310,13910,13470,12910,12020,11520,11050,10290,10260,7670,7510,7350,7070,6320,6180,5410,4760,4090,3590,3040,2550,2160,1800,1350,1120,840,700,530,360,260,180,150760,135150,132560,139650,145760,136290,143320,129460,122480,103720,88590,72240,72410,63820,46790,32330,18040,7260,418500,445200,500000,558100,694500,920700,1081500,459400,1153900,1324500,1297800,1243000,1184900,2030,243000,170600,60000,27700,9600,2360,330,31.1,1743000,28250,29460,29340,28220,27820,26250,26270,25670,25310,24940,24700,25790,25240,25620,24950,26080,26520,27710,28620,29420,30490,30580,29160,28610,27770,27660,27080,27490,28830,30310,30740,30840,29590,29310,28160,27650,27210,26660,26110,25200,24980,24530,24680,24160,24690,25050,21660,20640,19040,17670,18940,19110,18080,16710,15870,15370,14950,13800,14160,14170,14150,14800,14720,14410,14250,14060,13960,13920,13560,13050,13380,12690,13120,10070,10390,10260,9970,9400,9140,8450,7900,6670,6210,5820,5030,4220,3750,3190,2650,2190,1730,1480,1080,790,670,143080,128430,126310,138350,146610,141370,148640,132830,123050,104050,88710,72450,72350,68550,59650,47220,31630,16010,397800,423900,478100,536200,707800,934900,1096100,460600,1168400,1398800,1372700,1318500,1260400,5740,302700,230400,102200,54900,23300,7300,1550,32.4,1796600,58850,60490,59730,57750,57010,54180,53440,52670,51960,51340,51060,52790,52010,52240,50770,52830,53660,55370,57400,58750,60750,61080,58040,57280,55220,54120,53330,54310,56700,59200,60110,60120,58430,57750,55550,54570,53900,52370,51700,49750,49710,48910,49040,48650,49220,49770,43250,41010,38330,35400,37980,38130,36300,33170,31730,30490,29610,28040,28370,28180,28430,29650,29340,28780,28560,27980,27420,26830,25580,24570,24430,22980,23390,17750,17900,17610,17040,15720,15320,13860,12660,10760,9800,8860,7590,6380,5560,4540,3770,3020,2430,2010,1440,1040,840,293840,263580,258870,278010,292360,277660,291960,262290,245530,207770,177310,144690,144750,132370,106440,79550,49660,23270,816300,869100,978200,1094300,1402300,1855600,2177600,920100,2322300,2723300,2670500,2561400,2445300,7770,545700,401000,162100,82600,32900,9660,1890,31.8,3539600
